web-scraper-order,web-scraper-start-url,Condition,Likes,Review,Rating,Name,Date,Position,Gender,Age,Page link,Page link-href
1686665357-11,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,,Overall rating 2.0,Anonymous |,1/8/2014,Caregiver,Female |,45-54 |,,
1686665357-12,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,47 ShapeCreated with Sketch.,"Scary stuff..as soon as I started taking it, muscle cramps so severe cannot put in a nite of good sleep,  Also, dizziness is noticed and swallowing is more difficult.  Called doc's office to report..don't want to take it anymore..I need my sleep, yet I need to get my blood reading down.   Am in good shape, exercise and eat well.",Overall rating 2.7,wannabe |,12/30/2013,Patient,Female |,65-74 |,,
1686665357-13,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,1 ShapeCreated with Sketch.,"I am a cardiac patient, with high level of triglycerides in my blood.",Overall rating 3.0,Anonymous |,12/12/2013,Patient,Male |,45-54 |,,
1686665357-14,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Slow Progression of Disease of the Arteries of the Heart,1 ShapeCreated with Sketch.,"Take 60 mg daily. Has lowered cholesterol levels significantly. Have some problems with leg and muscle cramps.  Take 300 mg of CQ10 and it has lessened the frequency of cramping.  In general, the drug works.",Overall rating 4.3,beactan8 |,12/2/2013,Patient,Male |,65-74 |,,
1686665357-15,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Other,6 ShapeCreated with Sketch.,"Side effects worse than any benefits and, no,  media reports haven't influenced my decision to stop taking Lipitor. Lowering cholesterol is no benefit when I am nauseous and faecally incontinent to the point I fear any outdoor activity. None of this after 2 weeks abstaining from Lipitor. I have no doubts this medication is the right one for many--but not for me-and I haven't consulted my GP yet",Overall rating 2.3,Anonymous |,11/15/2013,Patient,Female |,65-74 |,,
1686665357-16,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,63 ShapeCreated with Sketch.,"Yes, it dramatically reduced the numbers for my bad cholesterol, HOWEVER...after a year of usage I was having mental confusion in mornings, pale stools, constipation and extreme tiredness.  My Dr. discarded any of these symptoms as related to Lipitor(atorvastatin).  However, when I spoke with someone else , having same symptoms, I stopped the drug.  Within 3 months, all is back to normal. Haven't had blood work yet. Very disturbing!",Overall rating 3.7,Shar |,11/13/2013,Patient,Female |,55-64 |,,
1686665357-17,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,31 ShapeCreated with Sketch.,"I have been taking atorvastatin (Lipitor) for several years now, and have had no problems at all.  My cholesterol has stayed low the entire time I have been taking this medication.",Overall rating 5.0,Anonymous |,10/29/2013,Patient,Male |,45-54 |,,
1686665357-18,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,27 ShapeCreated with Sketch.,"I am experiencing muscle spasm, hands shaking or tremor in both hands., tiredness. My Doctor  is referring me to a neurologist.",Overall rating 1.0,Andypt2005 |,10/16/2013,Patient,Male |,55-64 |,,
1686665357-19,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,13 ShapeCreated with Sketch.,cut my cholesterol in half in 3 months,Overall rating 5.0,Anonymous |,10/9/2013,Caregiver,Female |,65-74 |,,
1686665357-20,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,1 ShapeCreated with Sketch.,"I have been taking this medication for 4 months, it has lowered my numbers. I am having problems with urination,and am getting a rash from the urine, it is very strong and not much fluid, also I am very tired and am having back pain and leg cramps, the pain has just started a few days ago. I read the post about CoQ 10 I think I am going to try it.",Overall rating 3.7,emilysue |,9/25/2013,Patient,Female |,65-74 |,,
1686665370-21,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,ShapeCreated with Sketch.,,Overall rating 3.0,jagat Kirty |,12/13/2010,Patient,Male |,35-44 |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-22,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,3 ShapeCreated with Sketch.,"I'm a heart patient and undergone angioplasty thrice. As advice by my doctor, I'm taking this drug regularly and now my cholestorol level comes down to normal.",Overall rating 4.0,Smarajit biswas |,1/12/2010,,Patient,Male |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-23,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,81 ShapeCreated with Sketch.,"After taking Lipitor for 3 years I developed severe muscle pain in my shoulders, upper arms and legs. It has been 6 months since I stopped taking Lipitor and I still have muscle pain though the severity has lessened.  Pain medication is still required to function normally.",Overall rating 3.7,Dianne G |,10/23/2009,Patient,Female |,65-74 |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-24,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,114 ShapeCreated with Sketch.,"I took 80mg Lipitor once a day for 6 months and then the doctor reduced it to 40mg.  At around 4 month into taking Lipitor muscle pain developed in my calves.  It is difficult to go down stairs, and my calves ache most of the time.  A month ago, started taking 300mg CoQ10 daily (after reading that it is a good supplement for people to take who experience muscle pain from statin drugs) and the muscle pain is less than it was but still uncomfortable at times.  I'm hoping that the longer I take the C0Q10, the less pain I experience.  IRead More Read Less",Overall rating 4.7,dknauf |,10/21/2009,Patient,Female |,55-64 |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-25,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,2 ShapeCreated with Sketch.,"After 2 heart attacks and 1.5 years I was fine taking 20mg/day. This drug was not effective until I started taking it at night (173). Then after 1.5 years I started to experience chest aches, leg/joint aches, and jaw pain. I quit and felt better afterward but my cholesterol raised back up to 240. I still have jaw pain.",Overall rating 3.7,nn |,9/24/2009,Patient,Female |,55-64 |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-26,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,3 ShapeCreated with Sketch.,"I have used Lipitor for about 12 yrs. It has worked real well for me, I have been on the 20 mg. and the 10 mg.",Overall rating 4.3,ghbfh76 |,8/4/2009,Patient,Female |,75 or over |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-27,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Increased Triglycerides and Cholesterol,1 ShapeCreated with Sketch.,,Overall rating 4.0,Anonymous |,1/21/2009,Patient,Male |,55-64 |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-28,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,53 ShapeCreated with Sketch.,,Overall rating 4.3,wilsonchar3 |,12/13/2008,Patient,Male |,75 or over |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665370-29,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Slow Progression of Disease of the Arteries of the Heart,4 ShapeCreated with Sketch.,Good.,Overall rating 4.7,drjsil |,10/29/2008,Patient,Male |,65-74 |,10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=10&next_page=true
1686665378-30,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,99 ShapeCreated with Sketch.,"As a type 2 diabetic (controlled with no meds), I took a 10mg dose for 6 days with my evening meal. While sleeping on the 4th night I had rapid heart beat, chest tightness, numbness in both hands, leg pain, ringing in my ears and head pressure. Went to my internist the next morning; he prescribed an echo stress test - normal results. On the 5th night - same symptoms only worse; felt like I was CRASHING. Went to internist again; did a 24 hour holter heart test. I noticed that I felt better as the day progressed and looked at the pill I was about to take;then to the internet and decided to discontinue use. The two incidents happened about the same time - 3:30-4:00am. It was an amazing improvement the next morning without the pill, all symptoms were gone except for the numbness in fingers. Again, as the day progressed, I'm feeling like a totally different person. This is just a warning to all, and especially diabetics, that statins can have severe reactions. Trust your gut! Difficult as it is, diet and exercise are still the best medicine if possible.           Read More Read Less",Overall rating 2.0,Lacy |,1/25/2013,Patient,Female |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-31,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,12 ShapeCreated with Sketch.,It did bring my cholesterol down.,Overall rating 5.0,eavtzu |,1/11/2013,Patient,Male |,55-64 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-32,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,"i stagger, off balance",Overall rating 3.7,Anonymous |,12/30/2012,Patient,Male |,75 or over |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-33,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,1 ShapeCreated with Sketch.,"I had experienced horrible flu-like soreness all over my body, mainly upper back from 40mg generic Lipitor after a day try, upped from Lovastatin 20mg..the Lipitor 40mg is soooooo horrible and disablied me so bad, couldn't get up without body soreness..I never had this with 20 mg generic Lovastatin ...gonna quit taking Lipitor and still have the Lovastatin refills, I would go back, despite the new high trig reading at 265 from previous 90 last year.. I don't even consumed any dairy and hardly any red meat in a year now...Read More Read Less",Overall rating 1.7,Terri M. |,12/22/2012,Patient,Female |,55-64 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-34,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,17 ShapeCreated with Sketch.,tightness in throat,Overall rating 2.7,nygirl |,12/11/2012,Patient,Female |,55-64 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-35,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,,Overall rating 4.0,Seaborders |,12/2/2012,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-36,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,Don't know yet.,Overall rating 3.7,Anonymous |,11/27/2012,Patient,Female |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-37,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,2 ShapeCreated with Sketch.,"My numbers have gone down, But have suffered many of the side effects listed on this site",Overall rating 3.0,FIN |,11/26/2012,Patient,Male |,55-64 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-38,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,ShapeCreated with Sketch.,,Overall rating 5.0,jk |,11/23/2012,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-39,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Primary Prevention of Heart Attack,ShapeCreated with Sketch.,after double BY-Pass SURGERY THIS WAS MANDATORY !!!,Overall rating 4.0,John R |,11/23/2012,Patient,Male |,75 or over |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-40,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Increased Triglycerides and Cholesterol,ShapeCreated with Sketch.,Dizziness,Overall rating 3.0,Jim |,10/19/2012,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-41,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,4 ShapeCreated with Sketch.,,Overall rating 3.7,Les |,9/15/2012,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-42,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,6 ShapeCreated with Sketch.,No problems now as it keeps my readings low,Overall rating 5.0,Marrianna |,7/30/2012,Patient,Female |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-43,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,5 ShapeCreated with Sketch.,This drug left me a feeling very tired and or a hungover feeling every morning untill I stopped taking it after a month.,Overall rating 1.0,Anonymous |,6/28/2012,Patient,,35-44 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-44,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Prevention of Transient Ischemic Attacks,1 ShapeCreated with Sketch.,erectile dysfunction,Overall rating 2.7,filip |,6/22/2012,Patient,,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-45,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,ShapeCreated with Sketch.,,Overall rating 4.0,Anonymous |,3/9/2012,Patient,Male |,75 or over |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-46,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,14 ShapeCreated with Sketch.,,Overall rating 5.0,joseph |,3/8/2012,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-47,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,13 ShapeCreated with Sketch.,,Overall rating 5.0,bkunst |,3/7/2012,Patient,Male |,75 or over |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-48,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,1 ShapeCreated with Sketch.,have trouble sleeping; even moreso taking this drug.  had to stop because sleep patern  down to 4 hours sleep.,Overall rating 2.0,none |,2/25/2012,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665378-49,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Prevention of Transient Ischemic Attacks,2 ShapeCreated with Sketch.,keeps cholestorol withi limits. but i have trouble with occasionel calfweakness,Overall rating 5.0,Anonymous |,12/16/2011,Patient,Male |,65-74 |,9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=9&next_page=true
1686665387-50,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,43 ShapeCreated with Sketch.,I have only taken this med for 3wks and im already having back pain and ankle-shoulders I work out every day! now im always in pain,Overall rating 1.3,Rey |,9/8/2013,Patient,Male |,45-54 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-51,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,34 ShapeCreated with Sketch.,"I have no proof but, I believe I was suffering some memory loss with the 80MG dose.  I reduced the dose to 40MG, over my MD's objection, and I think I do better in the memory department. I'm sure some memory lost is due to lack of paying attention. My cholesterol is continuing to be reduce to acceptable levels at the lower Atorvastatin dose.",Overall rating 4.7,Anonymous |,9/3/2013,Patient,Male |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-52,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,2 ShapeCreated with Sketch.,High cholesterol and high triglycerides. Both have been reduced to acceptable (normal) levels. 40 mg per day after 6 months treatment,Overall rating 5.0,Daoud |,8/12/2013,Patient,Male |,55-64 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-53,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Increased Triglycerides and Cholesterol,ShapeCreated with Sketch.,"Does anyone know of any harmful food or nutrient interaction with Atorvastatin (Lipitor)? If you do, please show them in the review section)  I need to know.",Overall rating 3.0,earthgoddess |,8/7/2013,Patient,Female |,75 or over |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-54,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,52 ShapeCreated with Sketch.,"I had aortic valve replacement in February and my cardiologist wanted my cholesterol level to be lower.  I developed horrendous leg and foot cramps at night, and was also having ocular auras every day, sometimes twice or three times.  I did have these on occasion in the past, but not to this extent.  I began taking COQ10, but it didn't help.  Then I reduced my dosage from 20 mg to 10 and have been off it for a little over a week.  No leg or foot cramps and no ocular auras since.",Overall rating 3.0,Anonymous |,8/2/2013,Patient,Female |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-55,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,25 ShapeCreated with Sketch.,causes a lot of muscle pain,Overall rating 2.0,Anonymous |,8/2/2013,Patient,Female |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-56,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,16 ShapeCreated with Sketch.,I itch a lot on my face and hands and somewhat on my legs - why?,Overall rating 3.7,shirlsapnrap@msn.com |,7/31/2013,Patient,Female |,75 or over |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-57,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,,Overall rating 5.0,phildical1 |,6/29/2013,Patient,Male |,75 or over |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-58,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,34 ShapeCreated with Sketch.,Muscle aches and pain.  Over all fatigue,Overall rating 1.0,cardinal |,6/10/2013,Patient,Female |,45-54 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
