Review
"For High Cholesterol 							""My doctor recently put me on Lorstat 10 (10mg) because my triglyceride levels were high, but overall ratings were good. I thought I was doing fine on them, but have been drinking a lot more water & going to the toilet for wee's a lot more, waking in the middle of the night & not being able to get back to sleep quickly, had also been suffering a runny nose for no reason & sometimes sore throat & then the last couple of weeks it feels like I have something stuck in my throat (the feeling of having a tablet or something stuck). After doing some research, I have since found out that these can all be side effects of atorvastatins...I took my last tablet 3 days ago. My runny nose etc has gotten a lot better, I still have the sensation of something being stuck in my throat...Has anyone else had this & how long did it take to go away? I'm going to make an appointment with my son's dietitian to help lower my cholesterol..."""
"Lipitor (atorvastatin) for High Cholesterol 							""I had tried about 3 statins and could not take  them due to the aches and energy loss. I them was given lipitor. I took it for 3 months with no problem, then I start having memory loss. I stopped the drug and that had now been about 2 years. The loss is better but still comes and goes."
"For High Cholesterol 							""Have been taking lipitor for for 2 months. Went to Dr for yearly check up and blood work. My white blood count was low at 2.8 the only changes I have made since last check up is the addition of lipitor and Keto diet. The last 2 weeks I have been dizzy and have headaches and insomnia. Not sure if I should quit taking the drug or quit my diet."""
"For High Cholesterol 							""No doubt Lipitor at any dose does lowers your numbers. But what does that really mean, has plaque in your arteries reduced by same percentage ? I think not. Still statins might have their place but who can tolerate them, very few if you research. I just wish the doctors would push and insist on diet/exercise plans before prescribing statins. Was on Liptor only 10 mg for 18 months, numbers down but felt like crap. The usual intense body muscle aches. Off for a week now and my body is telling me already it needs a break from statin drugs. I'm totally satisfied to move forward and roll dice with diet/exercise. Doctor is in full agreement to drop statin for now. 66 year old male and still very active despite some heart failure."""
"For High Cholesterol 							""I've been taking Atorvastatin for a couple of weeks now,,,HATE IT AND WILL STOP TODAY!!.I have a cough and stuffy nose (side effect) tight chest, tired all the time, muscle cramps, off and on diarrhea, sore throat, no need to say anymore. I've been put on several different kinds of meds for high cholesterol and they all have side effects that I can't deal with. It's sad but every Dr I've had has wanted to put me on these meds that make me sick. I'm gonna find foods that may help"""
"Lipitor (atorvastatin) for High Cholesterol 							""I was taking the combination drug Caduet, of which Lipitor was one of the two drugs. Steadily over a year my doctor increased the medication from 20mg to 40mg, and then about three months ago he increased it to 80mg. Within a month I was experienceing severe tiredness, and eventually sever muscle weakness, coupled with elevated CK readings. On doing some research on the drug I found that the symptoms I had were indeed a major drug reaction. Although Lipitor helped in the reduction of my cholesterol levels, the side effects were debilitating. Within a week of having the medication changed to a non-statin I was beginning to feel better. A month later I am close to being back to my old self. There are other better alternatives."""
"For High Cholesterol 							""I have experienced severe heartburn since increased dosage from 40to 80 mg."""
"For High Cholesterol 							""I was given Atorvastatin by my cardiologist one month ago. The first 10 days I only felt a bit tired in the evening. Then after 10 days I started experiencing stomach problem, felt bloathed all the time, gas in my belly, even though I don't eat anything that could cause it. I went to the ER twice because of the pressure I felt on my organs. I am not sure 100% yet but I think its the medicine. I stopped taking it, even though my doctor does not agree, because I want to see if I return the way I was before. I am feeling so sick all the time and before taking this medicine, I have never been to an ER and was never ill..."""
"For High Cholesterol 							""Had by pass surgery, six of them, and was put on an 80MG dose of atorvastatin. Before surgery my LDL was 114, total was 214, HDL was 82 and triglyceride was 88. After one week on an 80 mg dose my values were 73, 166, 80 and 65. I was pleased and no side effects. Then after 5 months I began getting itching on my back and arms that drove me batty. My memory seemed to be suffering. The final straw was a complete loss of strength in my left leg, near the calf muscle. I could not even walk up my stairs. I immediately stopped taking atorvastatin and within two days the muscle returned to normal and the itching got way less severe. Memory also improved. I am 77 years old and have always been a runner so am in very good shape."""
"For High Cholesterol 							""Amazing results! My doctor and I are thrilled. 6 months ago, my total cholesterol was still hovering just north of 300. Today it is 165. Over 100 points cut from my LDL, and Trigs (Lovaza alone got these down from 400 to 250) went down a good bit too. All lipids are in the normal range for the first time in my adult life. No side effects at all."""
"For High Cholesterol 							""My husband has had high cholesterol for about 15 years tried to take Simvastatin but had bad side effects ... he is 64 and in quite good health he takes garlic. plant sterols and lecithin in his diet but now Dr wants him to try Artovastatin he really doesn't want to but I think maybe he should try it out"""
"For High Cholesterol 							""After his 5th heart attack My hubby has been on 80mg of these for nearly months and he suffers pain and is now waking up with yellow bruises on him the hospital say he can't come off them. They are the only new thing hes had so know they are the problems"""
"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""My experience with this drug for primary prevention was terrible fatigue followed by the worst panic attack and anxiety ever sometimes lasting for less than a minute and sometimes longer usually worse in the morning until Doctor said do not take it anymore."""
"For High Cholesterol 							""Started this drug a few months back and started having health problems; did not associate with the meds. The list is long on the adverse effects. dizzy, loss of balance, pain in head, ringing in ears, pressure in ears (went to ear noise and throat, said it was not in my ears.  I have heaviness and weakness in my legs, hard to walk far. Sleep problems, walking and talking while asleep, seizures Lasting a few seconds. this week other joints started hurting as well.  Hey the good news is, My cholesterol went way down. I quit taking this med yesterday. Lowering my cholesterol is not worth all the side affects.   I am glad it works for some, but have researched this drug and so many have had a bad reaction."""
"For High Cholesterol 							""I have been taking 10MG of Lipitor for about 18 years, it has worked wonderful for me no problems at all with the drug."""
"For High Cholesterol, Familial Heterozygous 							""This scrambled my memory as if I had Dementia but I am recovering now that I am off Atorvastatin for 8 months. Did not lower my cholesterol. Made me unable to stand up, actually collapsed outside in public. Horrible drug. Now lowering my cholesterol by special diet. (Was never overweight, had genetically high cholesterol.)"""
"Lipitor (atorvastatin) for High Cholesterol, Familial Heterozygous 							""Its good."""
"Lipitor (atorvastatin) for High Cholesterol 							""Have been taking 10 mg for about 2 years, doctor recently increased to 50 mg, my legs are cramping up and are sore from where they have cramped. I am going to doctor tomorrow to see if dose can be reduced."""
"For High Cholesterol 							""I had a heart attack and my doc gave me this to take .Within days  was worse off than before my heart attack. Always dizzy, confused, diarrhea, muscle cramps, short of breath, insomnia. I quit taking them and I feel so much better now and its only been 4 days since I quit taking them. This script is horrible and needs to be taken off the market!!Oh also headaches every damn day which i never ever had them before."""
"Lipitor (atorvastatin) for High Cholesterol, Familial Heterozygous 							""I have hereditary high cholesterol and have taken statins on and off since I was 15 years old. My overall cholesterol at age 15 was 370. It has ran as high as 460 when I wasn't taking a statin (usually Lipitor)."
"For High Cholesterol 							""atorvastatin worked bringing down my Triglycerides.  But my joint pain forced me to change meds.  My wrist have arthritis  in them yes, but I never had pain until I took this med.   The pain was unbearable."""
"For High Cholesterol 							""I have experienced light coughing that slowly advanced over 18 months to wheezing, hoarseness, uncontrollably coughing. I was treated for asthma and allergies with no relief. I researched this medicine and had all the side effects. This week I stopped taking it and all asthma treatments. After 5 days I'm breathing much better and not using inhaler or breathing treatments. I sleep through the night without gasping and coughing. I fully believe 18 months of this medication has taken a harsh toll on my lungs. I'm seeing my doctor this week and can't wait to see what she thinks about my changes and findings"""
"Lipitor (atorvastatin) for High Cholesterol 							""I took  lipitor for three months, then went thru a unbelievably hard time for 3 years due to side effects.  I had myopathy ,neuropathy, rashes, upset stomach, extreme muscle pain, E D ,. Pyronnies, constipation, arthritis, short term memory loss, could not lift my arms above my head and horrible fatigue."""
"For High Cholesterol 							""Went on atorvastatin because I had a fully blocked vertebral artery in the back of my neck and a partially blocked vertebral artery that required a stent. Within three days, I started getting a flushing of the skin of face and neck. Then the muscle soreness kicked in along with stiffness in other muscles. This gradually increased into neck muscles and finger muscles. I also developed weakness in all extremities. I was also in a fog at times and it was difficult to concentrate at work. I also had trouble focusing my vision. All of this happened over the six weeks that I was taking the drug. Have to be on something to lower cholesterol until stent is placed so doctor put me on another statin. However, I believe in quality of life over quantity of life so if the new statin continues like the old one, I will stop taking them and switch to berberine, which the scientific studies I have seen show to be just as effective at reducing cholesterol. My doctor is okay with this plan."""
"For High Cholesterol 							""Prescribed 10mg. Side effects started with upset stomach (improved with always taking with food). Within a couple weeks, the side effects exploded. No idea of whether or not it improved my labs (they were not supposed to be drawn for 2 more weeks).I am a vegetarian (no meat of any kind, no dairy milk, do eat some dairy cheese and eggs) and also a licensed massage therapist (so I know ""normal"" muscle tension or joint pain and how to improve it). My side effects (in no particular order): muscle cramps/pain/weakness/swelling/tightness, tiredness, diarrhea/intestinal cramping, increased ringing in the ears, and depression/angry mood swings. 3 days without med- pain, etc continues to improve."""
"For High Cholesterol 							""I have been on Atorvastatin  for about three months . I kept telling my doctor that my legs hurt. So she ordered a EMG [Electromyography measures muscle response]  which I refused.  She’s trying to make it sound like I’m crazy and it’s all in my head that my legs hurt or that there something else wrong when in fact it’s from the atorvastatin . I’m sorry to say this but I think doctors are all about the money because if she would’ve told me the side effects of this drug I wouldn’t of taken it in the first place. I feel horrible all the time I feel like I have to throw up all the time my legs hurt my foot is numb I called her up today and said I’m not taking that medicine ever again I’ll be taking niacin instead that also helps to lower your cholesterol"""
"For High Cholesterol 							""I've been on Atorvastatin 80 mg for high cholesterol for 6 months. I'm DONE! Extreme burning leg pain,  back pain, and can barely walk. Feeling drained to the core and having no energy. This poison has me pretty much unable to function. When in the ER, the doctor told me that this medication causes muscular pain and people end up stopping taking it. Add me to that list. I have an appointment with my doctor next week and will inform him the side effects are too devastating to continue taking it. This is no way to live when people have to help you walk across the street as if you're over 100 years old.  Tonight, I am DONE taking it. Then, reading through various complaints there are people ultimately being diagnosed with Parkinson's and doctors are still prescribing it. Atorvastatin is bad like all the other pills these quacks shovel out. There must be a holistic way to lower cholesterol without poisoning the body. Right now my legs are on fire and have to take something for pain."""
"For High Cholesterol 							""Been taking 10mg of atorvastatin for six months now. LDL was 188 now is 95 so a 50% drop. Total cholesterol from 263 to 136, again nearly 50%. Triglycerides from 154 to 40 which is like 75%. The only not stellar number was my HDL (the good cholesterol) which actually dropped from 44 to 33. Even though most peoples goes up slightly. While that is a concern overall the improvement in my numbers has my cardiologist pleased enough to continue the protocol."
"For High Cholesterol 							""Dad died of heart attack three years ago.  Then two years later my brother had heart attack from blockage and almost died. My cholesterol is 512. Been taking this statin about 3 weeks. I'm miserable. Leg pain/ cramps. Pain down both arms but mainly left one. Totally weak all over. Lower leg pain both sides. Tight chest every night. Heat pounds all the time now. Barely can sleep a couple hours a night if I'm lucky. Sour stomach every night have to take antacids at bedtime. Can't function during the day. I gotta go see my Doc now that I know this med is the cause. 43 year old fairly active, average weight male."""
"For High Cholesterol 							""My total cholesterol was 280. I eat right and exercise up to 2 hours per day so I wasn't overly concerned. Had many reservations about taking a statin due to reported side effects but finally relented just to get my doc off my back. After 3 months of taking a small 10 mg dosage daily my cholesterol is 170, within normal range. NO side effects whatsoever. Sorry I didn't start sooner."""
"For High Cholesterol 							""This drug caused Shortness of breath,. Sleep Apnea and Cramps."
"Lipitor (atorvastatin) for High Cholesterol 							""I suffered frequent and prolonged  cramps in my legs for anything  from two/four times weekly at night, waking me from a sound sleep."""
"Lipitor (atorvastatin) for High Cholesterol 							""My doctor prescribed 10 mg due to high cholesterol.  I had “above the range” results in most of the lipid categories.  After just 4 months and no side effects, my numbers are all significantly lower and all are within the normal ranges.  I was shocked, but very pleased!"""
"For High Cholesterol 							""Side effects  of atorvastatin included weight gain, muscle cramps, constant sore throat and digestion/gas issues.  Have stopped taking after 3 months of these issues - it's taken another 4 weeks of stomach pains to make a recovery.  They did do the job as readings reduced from 6.1 to 4.1, but not worth the pain."""
"For High Cholesterol 							""My doctor prescribed me this medicine, 10mg once a day, for high cholesterol and triglycerides."
"For High Cholesterol 							""I live in Australia. I am 74. On 29th January had a cardiac stent in left circumflex artery. I was on Crestor 10mg daily, Prior to procedure I had no symptoms, went to gym for an hour 3-4 times a week. After successful procedure at the hospital my meds were changed including changing Crestor to 80 mg Atrovastatin daily. As I was walking out of the hospital I felt a little breathless. So went to the emegency dept at local hospital. Nothing much was done there. My wife told me that my skin colour was strange and yellowish. When discharged, because of the coincidence between feeling unwell and change in medication, and as I could not see a doctor straight away I took myself off the new meds and reverted back to the old one and went to see a dr the next day. He told me I did the right thing. Now, after taking Atrovastatin for four days and not having it for the past four days, I feel fit but still a bit tired,  but people at work still comment about my yellowish skin colour."""
"For High Cholesterol 							""Within 4 weeks of taking this drug I could not sit down or walk properly due to horrendous back pain and muscle spasms. I also suffered excruciating cramp in my toes, a very bloated stomach and constipation as my back was so painful I could not go to the toilet to pass any stools.  I also felt very light headed and nauseous. I ended up having to take diazepam, 8 paracetamol a day and lactulose 3 times a day. I told my doctor and he advised me to stop taking them straight away. I am hoping I will soon be back to normal and able to continue walking my 5 to 8 miles a day even at 70 years of age. Never again will I take a statin."""
"For High Cholesterol 							""GAS!!  Bloating for several hours and sometimes into next day after taking 20 mg. with water at night."""
"For High Cholesterol 							""I was told 12/28/2020 that my cholesterol level was 312. I was prescribed Lipitor. February 15th, 2021 I had another lipid panel done. I found out that same day that my new cholesterol reading is 224. My diet wasn't altered much. Financial times are tough. The fact that my cholesterol went down 88 points in two weeks is really shocking to me. I haven't experienced any side effects from the Lipitor either. Amazing drug."""
"Lipitor (atorvastatin) for High Cholesterol 							""The Lipitor worked for years then suddenly I had upper arm pains and couldn't move my arms without crying. I couldn't get up from the toilet or bathtub etc. I was a cripple. My cardiologist took me off the drug immediately and said not to every go back to it. After months the pain subsided a little but never came back to my original health. Can't walk much and have to stop every minute or so to rest my aching legs etc. Can't take care of my apartment anymore."""
"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""Continuous muscle pain on back of both thighs. Discontinued use after two weeks & a few days and the pain is gone."""
"For High Cholesterol 							""My Tyiglycerids were over 400.  One year later they are down to 112."
"Lipitor (atorvastatin) for High Cholesterol 							""Works well at lowering lipids when combined with Niaspan. Had to discontinue because of cognitive disorders and severe muscle pain. No rhabdo, however."""
"For High Cholesterol 							""My cardiologist finally talked me into taking this poison after 5 years of trying. Took it for a month. The first week I had severe cramping of my hamstrings. The second week foot, ankle, and knee pain. Fourth week all the previous symptoms with myopathy, back pain ,and gout flare ups. Stopped taking the poison(feel stupid I waited so long to do it). I had to walk with crutches for a week and after weeks still having trouble. I read an article that said 1 in 4 Americans take statins. However because the “normal” cholesterol numbers are being lowered which means more people will be diagnosed with high cholesterol that statistic is going to change to 1 in 2 Americans. If I would have continued to take the poison it probably would have helped To prevent me from having a heart attack or stroke. What good does that do me if I have a terrible quality of life by being crippled and miserable. """
"For High Cholesterol 							""54 YO WM, former distance runner who sustained a career ending injury, and over a 3 year period, my Cholesterol slowly climbed to an unacceptable level. 210ish (with an HDL of 75) to 290. I have a family history but still that was a scary and surprising discovery.  My last Lipid panel before starting 20mg of Atorvastatin daily was: Total Cholesterol: 290; HDL: 43; LDL: 210; Non-HDL: 247; Triglycerides: 185.  8 months later after the atorvastatin, Total: 189; HDL: 47; LDL:114; Non HDL: 142; Triglycerides: 138. Zero side effects except for some weight gain that I can't totally pin back to the medication, and my Doc wants to up my dosage to 40MG per day to bring everything down another 25% or so, and to try to get my HDL into the 50s.  Perfect drug for me."""
"For High Cholesterol 							""I have been taking Simvastatin for ten years. When I first started taking them I  had quite a lot of muscle pain but the pain eventually went away after a year or so.  A month ago my doctor changed me to Atorvastatin (Why, I don't know ), within a month I have muscle pain returned, weak legs, plus I seem to get irritable easily."
"Lipitor (atorvastatin) for High Cholesterol 							""I have been using a Lipitor for  only one week but am feeling fatigue and muscle pains, my cholesterol drops down from 130 to 100, but too much side effect, I decided to stop and  now am feeling OK"""
"For High Cholesterol 							""This pill has terrible side effects. Makes my heart beat very fast for 60 minutes after taking it, my excellent memory is now gone and it overworks my diabetic kidneys big time. Stopped it completely last night. Exercise and a good diet are happening today."""
"For High Cholesterol 							""When taking Atorvastatin I have developed many side effects. I have had headaches, dizziness, lack of energy, weakness, like I'm always tired, chills, fever, cramps, sore eyes, and mood swings. Although this medication seems to work well."""
"Lipitor (atorvastatin) for High Cholesterol 							""About 2 weeks ago my Dr put me on Lipitor for my cholesterol. I've been having all kinds of side effects from it but I didn't realize it until today, I've been beside myself with itching, I keep getting these stinging sensations, like I'm being bitten by fire ants, I'm prone to insomnia (very severe) and it made it so much worse, despite the fact that I have been feeling I was coming down with something serious (constantly exhausted). I've even developed blisters in my NOSE! and I have the red spots it's insane. No joke I seriously have about 80% of the listed side effects even the unreported and rare. I hope no one ever has to deal with this craziness."""
"Lipitor (atorvastatin) for High Cholesterol 							""Lipitor plus Zetia lowered cholesteral from 300  to 200, lots of aches, pains and charley-horses in the legs especially going up and down stairs. High cholesteral prominent in the family genes. Now have nasty skin rashes red welts with itch that is a torture, dermatology, allergist and GP have no answers. I am guessing it is the statins as its the only other thing I take is a LD aspirin. """
"For Prevention of Cardiovascular Disease 							""I was diagnosed with heart disease 10 weeks ago with main artery blocked 90%, other blocked 70% and some others 40% and 30%.  Underwent a stent for main blockage and cardiologist put me straight on medication including 80mg of Lipitor.  I suffer from reaction to medication and straight away had back pain mainly in middle and down right side. The plain was not good, but I decided I needed to beat this thing and the best way was to push through hoping my body would adjust."
"For High Cholesterol 							""My doctor put me on 10 mg of Atorvastatin and after checking my cholesterol after 3 months increases my Atorvastatin to 20 mg. I didn't feel the side effects right away perhaps 3 months after taking them my feet felt like bricks and it was harder to walk because I had neuropathy I just thought it was just getting worse, we have stairs and I felt like my femur muscle was rubbing against my bone, just a slight sensation there,  I knew this was different but what can I do, was I just getting older? I had with in the next few days both my knees would give out with pain behind them hard to get off toilet with out pain, Got off Atorvastatin on my own.. notice I was getting better, OFF 2 WEEKS NOW 99.9% BETTER! It was Atorvastain!"""
"For High Cholesterol, Familial Heterozygous 							""I was put on avorastatin for high cholesterol (300) genetic history.  I asked no questions.  Always accept that side effects are a given and diminish as my body adjusts.  Started to feel muscle aches in hips, shoulders, thighs. My knees ached.  I’m a runner and I felt horrible during and after runs.  I had no idea why this was occurring.  It dawned on me that these symptoms started when I went on the statin. Come to find out these are common side effects.  It’s like I have the flu constantly.  So my advice is don’t take this drug.  Sorry. I wish I could offer a positive story."""
"For High Cholesterol 							""I was on this medication for close to ten years I've had problems with it -cramps and muscles weakness. Went to my doctor and told him about the problems I was having and they said it couldn't be the cholesterol medicine I've been on it too long."""
"Lipitor (atorvastatin) for High Cholesterol 							""Just 10 days of Lipitor at 40mg per day and I have side effects of being nauseous, pain in right arm and back, muscle weakness. I feel really feel lousy all the time. Dropping my dose to 20 mg today..hope it works. My cholesterol is at 250."""
"For High Cholesterol 							""My old Doctor felt my cholesterol, while a little high, did not warrant taking a medication. He retired and the interim Dr. said she felt my numbers would be better by taking  atorvastatin 10 mg daily. My numbers came down, not as far as she would like, but good enough. I had no side effects so I have stayed on it for over a year. My new Dr. ran more tests and upped my dosage to 20 mg and numbers are down close to where he feels they should be. Still no side effects. Next refill, he wants to see how 40 mg does for lowering to where he wants me to be. I'm hopeful it will work and still no side effects. After reading what some other people's reactions to this medication, I feel pretty lucky."""
"For High Cholesterol 							""I only took Atorvastatin (40mg tabs) for two days and noticed a slight rash all over my torso.  The next day it had spread and looked redder.  Nurse said to take Benadryl and go to ER if it became worse. """
"For High Cholesterol 							""Well,  got my lab results and my cholesterol is 311. Not good. Dr put me on 20mg generic lipitor daily. By the 9th day oh man I was a mess. Brain fog, stomach pain,  dizzy and kind of angry. So I decided to take the pill every other day. I read that it could be just as effective. It works wonders! No side effects taking 20mg every other day. My Dr don't know that I dropped down to every other day. She will know soon. I sent her an email just waiting for her to read it. So if daily dose is too much, try every other day or ask for the lower dose"""
"For High Cholesterol 							""67 years old reasonably fit male until I had a mini stroke in Jan 17. In hospital they put me on 80mg atorvastatin once a day. Within four weeks every muscle in my body ached. Went to the doctors and he reduced the dose to 40mg a day. Another three weeks later I couldn't get out of bed or walk due to aching muscles. Stopped taking them completely and within three days felt thirty per cent better. Another three weeks have gone bye and still ache like hell. They might lower cholesterol for some people and be a godsend but I never want to see another one in my life. They have ruined my way of life."""
"Lipitor (atorvastatin) for High Cholesterol 							""In the past year I have experienced four occasions of hyperlipidemia, rhabdomylosis, and acute renal failure. All four times I woke up in ICU  and had a lengthy stay in the hospital. I am still taking atorvastin, have muscle aches and pains, with weakness, joint pain and stiffness, and restless legs, with no control of movement. I am miserable most of the time. Recently my doctor stopped the lipitor for the next six weeks to see what changes may happen."""
"For High Cholesterol 							""I was put on atorvastatin as a middle age male with a history of moderate hypertension. I had low cholesterol and lower good cholesterol but was put on it. Over a few years my blood sugar climbed to the point of being diagnosed as diabetic. Prior to starting taking atorvastatin I had very low blood sugar.  The company's website tells you it will make your blood sugar rise but not make you a diabetic. I also had leg pain and cramping along with weight gain. I ended up with a rise in weight , cholesterol, blood sugar and then a heart attack. After convincing a new Dr.  I was having issues with it I was taken off of it . My blood sugar has dropped out of the diabetic range, my cholesterol has dropped, my leg issues have subsided.I have lost weight.  Thank you for listening Dr."""
"Lipitor (atorvastatin) for High Cholesterol 							""Have been on this so long but recently I feel it creates nausea and stomach/abdominal pain. No matter when I take it with or without food I seem to get this reaction.  My Dr is stumped, but I cannot get past this awful ""sick"" feeling all the time.  When I stop taking it I do much better.  When I start again the same thing happens.  My only other prescription is for High blood pressure and is the same as I have always taken so we figure it is not that. """
"For High Cholesterol 							""During the course of 6 weeks of taking Atorvastatin I immediately experienced the feeling that you're on drugs, extreme fatigue that lasted 5-6 hours upon waking, some increased libido, beginning at week 4 moderate sciatia in lower torso and interrupted sleep. Decided to stop sugar and lose weight instead of taking cholesterol meds. Also, requested from library: Pure, White and Deadly."""
"Lipitor (atorvastatin) for High Cholesterol 							""Reduced my overall cholesterol from 288 to 126 in one month."
"Lipitor (atorvastatin) for High Cholesterol 							""I was placed on Lipitor 10 mg after trying all of the other cholesterol reducing drugs.  Developed after three days, very stiff neck and overall muscle soreness.  Doctor ordered a CPK test and my levels are off.  She discontinued me on this medication.  Must not be for everyone.  Will continue with my diet and exercise.  My cholesterol must be hereditary since I follow Weight Watchers, have lost weight and I exercise daily."""
"For High Cholesterol 							""After 4 years complaining/ multiple Drs /rhuem/ neurological/ Cardi/ PC/ emergency room visits/PT / an insurance person contacted my cardiologist and asked if my arm pains could be linked to atorvastatin. Now off a week tomorrow still having dull aches arms.I  had suffered multiple issues/ pain /twitching /bed bound from fatigue /weight gain /fog/ heel pain /balance off /ringing in ears /ear pain / stomach bloated always a mess/ None all at the same time. I got every book I had an ANA TEST at my request. I was sick of being told they found nothing . So that test came back speckled positive/ but false positive to them after still not finding enough. Should I seek all new Drs? Why didn’t anyone pick up on this/ it’s horrible."""
"Lipitor (atorvastatin) for High Cholesterol 							""This is some crazy stuff. Two weeks into taking Lipitor I woke up with  huge red spots in the bends of my arm. It actually looked like eczema and I have never had eczema. I had a stiff neck and I had rashes on both my forearms and on the front of my legs. Eye lids were droopy and the dry skin was horrible. My legs and arms were so dry and flakey. And stopped taking it as soon as I read the reviews..Rashes are clearing up after a week off Lipitor. This was horrible allergic reaction.."""
"For High Cholesterol 							""Started feeling pain in my knee and shoulders and forearms. My husband takes “Red Yeast Rice”. for high cholesterol, the doctor told him keep taking it because it works and no side effects! I’m going on red yeast rice! Tired of all these side effects."""
